日付,利用店,金額,
2024-02-01,スターバックス下北沢店,560,
2024-02-01,高島屋新宿店,10001,
2024-02-01,ドトールコーヒーショップ下北沢店,648,
2024-02-01,イトーヨーカドー渋谷店,3549,
2024-02-01,スターバックス青山一丁目店,584,
2024-02-01,セブンイレブン青山通り店,1071,
2024-02-01,カフェドクリエ青山店,758,
2024-02-01,タリーズコーヒー青山一丁目店,654,
2024-02-02,ユニクロ下北沢店,3075,
2024-02-02,ファミリーマート下北沢駅前店,1254,
2024-02-02,ユニクロ青山店,3000,
2024-02-02,ディズニーストア渋谷店,6047,
2024-02-03,H&M新宿店,5075,
2024-02-03,カフェドクリエ青山店,768,
2024-02-03,サンマルクカフェ青山一丁目店,762,
2024-02-03,高島屋新宿店,10009,
2024-02-03,セブンイレブン青山通り店,1058,
2024-02-03,セブンイレブン青山通り店,1020,
2024-02-03,サンマルクカフェ青山一丁目店,718,
2024-02-03,ドン・キホーテ六本木店,3000,
2024-02-03,カフェドクリエ下北沢店,799,
2024-02-04,成城石井南青山店,2538,
2024-02-04,Gap新宿店,4559,
2024-02-04,カフェドクリエ下北沢店,797,
2024-02-04,楽天市場,8068,
2024-02-04,コストコ下北沢店,7026,
2024-02-04,セブンイレブン青山通り店,1048,
2024-02-04,コストコ下北沢店,7024,
2024-02-04,ドトールコーヒーショップ下北沢店,661,
2024-02-04,セブンイレブン下北沢駅前店,1023,
2024-02-05,ビックカメラ渋谷店,9033,
2024-02-05,ドトールコーヒーショップ青山一丁目店,602,
2024-02-05,スターバックス青山一丁目店,538,
2024-02-05,ヤマト運輸,2037,
2024-02-05,ドトールコーヒーショップ下北沢店,640,
2024-02-06,カフェドクリエ青山店,777,
2024-02-06,スターバックス青山一丁目店,513,
2024-02-06,ピーコックストア青山店,4001,
2024-02-06,ドン・キホーテ下北沢店,3041,
2024-02-06,西友下北沢店,2521,
2024-02-06,ドトールコーヒーショップ下北沢店,693,
2024-02-06,イオンモール下北沢店,4032,
2024-02-07,ローソン南青山店,545,
2024-02-07,高島屋新宿店,10022,
2024-02-07,ローソン下北沢駅前店,549,
2024-02-07,松屋青山一丁目店,657,
2024-02-07,カフェドクリエ下北沢店,764,
2024-02-07,ZARA表参道店,4526,
2024-02-07,ZARA表参道店,4557,
2024-02-07,楽天市場,8081,
2024-02-07,松屋青山一丁目店,607,
2024-02-08,イトーヨーカドー渋谷店,3586,
2024-02-08,ZARA表参道店,4554,
2024-02-08,サンマルクカフェ青山一丁目店,775,
2024-02-08,イオンモール下北沢店,4021,
2024-02-08,マクドナルド下北沢店,841,
2024-02-08,カフェドクリエ下北沢店,732,
2024-02-08,楽天市場,8054,
2024-02-08,無印良品下北沢店,3595,
2024-02-08,無印良品青山店,3582,
2024-02-08,H&M表参道店,5004,
2024-02-09,マクドナルド青山店,896,
2024-02-09,サイゼリヤ青山店,754,
2024-02-09,サイゼリヤ青山店,789,
2024-02-09,マクドナルド下北沢店,862,
2024-02-10,H&M表参道店,5030,
2024-02-10,ドン・キホーテ六本木店,3006,
2024-02-10,カフェドクリエ下北沢店,742,
2024-02-10,H&M新宿店,5045,
2024-02-10,ビックカメラ新宿店,9057,
2024-02-10,H&M表参道店,5066,
2024-02-11,サイゼリヤ下北沢店,705,
2024-02-11,ヤマト運輸,2059,
2024-02-11,Gap表参道店,4576,
